,0,1,2,3
159,735,1850,"      .bd-placeholder-img {        font-size: 1.125rem;        text-anchor: middle;        -webkit-user-select: none;        -moz-user-select: none;        user-select: none;      }      @media (min-width: 768px) {        .bd-placeholder-img-lg {          font-size: 3.5rem;        }      }      .b-example-divider {        height: 3rem;        background-color: rgba(0, 0, 0, .1);        border: solid rgba(0, 0, 0, .15);        border-width: 1px 0;        box-shadow: inset 0 .5em 1.5em rgba(0, 0, 0, .1), inset 0 .125em .5em rgba(0, 0, 0, .15);      }      .b-example-vr {        flex-shrink: 0;        width: 1.5rem;        height: 100vh;      }      .bi {        vertical-align: -.125em;        fill: currentColor;      }      .nav-scroller {        position: relative;        z-index: 2;        height: 2.75rem;        overflow-y: hidden;      }      .nav-scroller .nav {        display: flex;        flex-wrap: nowrap;        padding-bottom: 1rem;        margin-top: -1px;        overflow-x: auto;        text-align: center;        white-space: nowrap;        -webkit-overflow-scrolling: touch;      }</style>",STYLE_BODY
160,1851,1858,<script>,SCRIPT_OPEN
161,1859,3045,"var socket = null;var sent = 0;var recv = 0;var length = 65536;function open(evt) {        message(evt);}function message(evt) {        socket.send(evt.data);        //sent = sent + 1;        update(evt);}function update(evt) {        filetable = document.getElementById(""fileTable"");        filetable.innerHTML = evt.data;}function onmessage(evt) {        message(evt);}function connect(url) {        //url file_index_connect        connect_url = ""ws://127.0.0.1:8888/""+url        socket = new WebSocket(connect_url);        socket.onopen = function(evt) {                 if(url===""websocket_message_connect""){                        var filter  = document.getElementById(""search"").value;                        socket.send(filter);                } else {                        open(evt);                }                console.log(""open"");         };        socket.onclose = function(evt) {  console.log(""closed"");};        socket.onmessage = function(evt) {                 update(evt);                    //console.log(filter);                //console.log(message);                 socket.close();        };        socket.onerror = function(evt) { alert(""onerror""); };}</script>",SCRIPT_BODY
162,3046,3085,<!-- Custom styles for this template -->,HTML_COMMENT
163,3086,3086,<,TAG_OPEN
164,3087,3090,link,TAG_NAME
165,3091,3091, ,TAG_WHITESPACE
166,3092,3095,href,TAG_NAME
167,3096,3096,=,TAG_EQUALS
168,3097,3116,"""/css/dashboard.css""",ATTVALUE_VALUE
169,3117,3117, ,TAG_WHITESPACE
170,3118,3120,rel,TAG_NAME
171,3121,3121,=,TAG_EQUALS
172,3122,3133,"""stylesheet""",ATTVALUE_VALUE
173,3134,3134,>,TAG_CLOSE
174,3135,3135,<,TAG_OPEN
175,3136,3136,/,TAG_SLASH
176,3137,3140,head,TAG_NAME
177,3141,3141,>,TAG_CLOSE
178,3142,3142,<,TAG_OPEN
179,3143,3146,body,TAG_NAME
180,3147,3147,>,TAG_CLOSE
181,3148,3148,<,TAG_OPEN
182,3149,3154,header,TAG_NAME
183,3155,3155, ,TAG_WHITESPACE
184,3156,3160,class,TAG_NAME
185,3161,3161,=,TAG_EQUALS
186,3162,3226,"""navbar navbar-dark sticky-top bg-dark flex-md-nowrap p-0 shadow""",ATTVALUE_VALUE
187,3227,3227,>,TAG_CLOSE
188,3228,3228,<,TAG_OPEN
189,3229,3229,a,TAG_NAME
190,3230,3230, ,TAG_WHITESPACE
191,3231,3235,class,TAG_NAME
192,3236,3236,=,TAG_EQUALS
193,3237,3283,"""navbar-brand col-md-3 col-lg-2 me-0 px-3 fs-6""",ATTVALUE_VALUE
194,3284,3284, ,TAG_WHITESPACE
195,3285,3288,href,TAG_NAME
196,3289,3289,=,TAG_EQUALS
197,3290,3292,"""#""",ATTVALUE_VALUE
198,3293,3293,>,TAG_CLOSE
199,3294,3307,LaTex in ArXiV,HTML_TEXT
200,3308,3308,<,TAG_OPEN
201,3309,3309,/,TAG_SLASH
202,3310,3310,a,TAG_NAME
203,3311,3311,>,TAG_CLOSE
204,3312,3312, ,SEA_WS
205,3313,3313,<,TAG_OPEN
206,3314,3318,input,TAG_NAME
207,3319,3319, ,TAG_WHITESPACE
208,3320,3324,class,TAG_NAME
209,3325,3325,=,TAG_EQUALS
210,3326,3382,"""form-control form-control-dark w-100 rounded-0 border-0""",ATTVALUE_VALUE
211,3383,3383, ,TAG_WHITESPACE
212,3384,3387,type,TAG_NAME
213,3388,3388,=,TAG_EQUALS
214,3389,3394,"""text""",ATTVALUE_VALUE
215,3395,3395, ,TAG_WHITESPACE
216,3396,3406,placeholder,TAG_NAME
217,3407,3407,=,TAG_EQUALS
218,3408,3447,"""Search only filters filenames on input""",ATTVALUE_VALUE
219,3448,3448, ,TAG_WHITESPACE
220,3449,3458,aria-label,TAG_NAME
221,3459,3459,=,TAG_EQUALS
222,3460,3467,"""Search""",ATTVALUE_VALUE
223,3468,3468, ,TAG_WHITESPACE
224,3469,3470,id,TAG_NAME
225,3471,3471,=,TAG_EQUALS
226,3472,3479,"""search""",ATTVALUE_VALUE
227,3480,3480,>,TAG_CLOSE
228,3481,3481,<,TAG_OPEN
229,3482,3484,div,TAG_NAME
230,3485,3485, ,TAG_WHITESPACE
231,3486,3490,class,TAG_NAME
232,3491,3491,=,TAG_EQUALS
233,3492,3503,"""navbar-nav""",ATTVALUE_VALUE
234,3504,3504,>,TAG_CLOSE
235,3505,3505,<,TAG_OPEN
236,3506,3508,div,TAG_NAME
237,3509,3509, ,TAG_WHITESPACE
238,3510,3514,class,TAG_NAME
239,3515,3515,=,TAG_EQUALS
240,3516,3537,"""nav-item text-nowrap""",ATTVALUE_VALUE
241,3538,3538,>,TAG_CLOSE
242,3539,3539,<,TAG_OPEN
243,3540,3540,a,TAG_NAME
244,3541,3541, ,TAG_WHITESPACE
245,3542,3546,class,TAG_NAME
246,3547,3547,=,TAG_EQUALS
247,3548,3562,"""nav-link px-3""",ATTVALUE_VALUE
248,3563,3563, ,TAG_WHITESPACE
249,3564,3567,href,TAG_NAME
250,3568,3568,=,TAG_EQUALS
251,3569,3571,"""#""",ATTVALUE_VALUE
252,3572,3572,>,TAG_CLOSE
253,3573,3573,<,TAG_OPEN
254,3574,3574,/,TAG_SLASH
255,3575,3575,a,TAG_NAME
256,3576,3576,>,TAG_CLOSE
257,3577,3577,<,TAG_OPEN
258,3578,3578,/,TAG_SLASH
259,3579,3581,div,TAG_NAME
260,3582,3582,>,TAG_CLOSE
