,fractions
0,\frac{\mathbf{x}_e+\mathbf{x}_p}{2}
1,\frac{g}{c}
2,\frac{Z}{c}
3,\frac{1}{i}
4,\frac{\mathbf{A}(\tau)}{c}
5,\frac{\mathbf{P}^2}{4}
6,\frac{P_x\dot{A}(\tau)z}{2c^2}
7,\frac{1}{r}
8,\frac{1}{4c^2}
9,\frac{1}{4c^2}
10,\frac{1}{r}
11,\frac{1}{4c^2}
12,\frac{1}{c}
13,\frac{-i}{1-B_z}
14,\frac{\pi}{\tau-\tau'}
15,\frac{\pi}{\tau-\tau_0}
16,\frac{I_p^{3/4}}{2E(\tau_0)}
17,\frac{A(\tau)}{c}
18,\frac{2}{3}
19,\frac{I_p^{3/2}}{E(\tau_0)}
