,theorem
0,"\begin{theorem}[Positive deformations \protect{\cite{bursztyn.waldmann:2000a}}]
    \label{theorem:posdef}
    Any Hermitian star product on a symplectic manifold is a positive
    deformation.
\"
1,"\begin{theorem}[Faithful $^*$-representations \protect{\cite{bursztyn.waldmann:2001b}}]
    \label{theorem:GNS}
    Let $\mathcal{A}$ be a unital $^*$-al\-ge\-bra. Then $\mathcal{A}$
    has sufficiently many positive linear functionals if and only if
    it has a faithful $^*$-representation. In this case $\mathcal{A}$
    can be viewed as a $^*$-subalgebra of some
    $\mathcal{B}(\mathcal{H})$.
\"
2,"\begin{theorem}[Rieffel induction \protect{\cite{bursztyn.waldmann:2001a}}]
    \label{theorem:rieffel}
    Let $\mathcal{E}$ be a $\mathcal{B}$-$\mathcal{A}$ bimodule with
    compatible, completely positive $\mathcal{A}$-valued inner
    product. Then the construction of the induced representation gives
    a functor
    \begin{equation}
        \label{eq:rieffelind}
        \mathsf{R}_{\mathcal{E}}: 
        \Rep(\mathcal{A}) \ni (\mathcal{H}, \pi) 
        \; \mapsto \;
        (\mathcal{K}, \varrho) \in \Rep(\mathcal{B}).
    \end{equation}    
\"
3,"\begin{theorem}[Deformed vector bundles \cite{bursztyn.waldmann:2000b}]
    \label{theorem:defvec}
    Let $\star$ be a star product on $M$ and let $E \to M$ be a vector
    bundle. Then there exists a right module structure $\bullet$ on
    $\Gamma^\infty(E)[[\lambda]]$ for $(C^\infty(M)[[\lambda]],
    \star)$ deforming the usual $C^\infty(M)$-module structure.
    Moreover, $\bullet$ is unique up to equivalence and induces a
    deformation $\star'$ for $\Gamma^\infty({\mathsf{End}}(E))[[\lambda]]$ which
    is unique up to isomorphism. Finally, also Hermitian fibre metrics
    can be deformed in a unique way up to isometry.
\"
