,section\*
0,\section*{I. Introduction}
1,\section*{II. Basic concepts}
2,\section*{III. The continuous Moyal basis and the midpoint}
3,\section*{IV. Philosophy of associativity anomalies}
4,"\section*{V. Ghosts\footnote{This discussion is borrowed
and improved from and earlier discussion in ref.\cite{Erler}}}"
5,\section*{VI. The Hamiltonian}
6,\section*{Appendix: more about the $v_n$'s}
