,displaymath
0,"\begin{displaymath}
q^1 = q^3\,, \qquad q^2 = \frac 1g - 2q^1\,.
\"
1,"\begin{displaymath}
h = Q^1 \int e^{g\int y^3 du} du + \frac{K_-}{2}\,,
\"
2,"\begin{displaymath}
y^1 = -y^2 = Q^1\frac{h}{\dot h}\,.
\"
