,cite
0,\cite{per}
1,\cite{per}
2,\cite{gor}
3,\cite{op2}
4,\cite{vas}
5,\cite{cal}
6,\cite{reg}
7,\cite{gib}
8,\cite{gal}
9,\cite{wyl}
10,\cite{ghosh}
11,\cite{dprt}
12,"\cite{ikl,ikL}"
13,\cite{FM}
14,\cite{ikL}
15,\cite{aff}
16,"\cite{ap,FR}"
17,"\cite{FR,ikl}"
18,\cite{ikl}
19,"\cite{ap,ikl}"
20,\cite{FM}
21,\cite{FrSorba}
22,\cite{bils}
23,\cite{ikl}
24,"\cite{ap,FR}"
25,"\cite{IS,BP,MSS}"
26,\cite{ikL}
27,\cite{bgik}
28,"\cite{ap,FR,ikl}"
29,\cite{ikL}
30,\cite{ikL}
31,\cite{gib}
32,"\cite{IS,BP,MSS}"
33,\cite{ikL}
34,\cite{ikL}
35,\cite{gib}
36,\cite{wyl}
37,\cite{gal}
38,"\cite{ikl, ikp}"
