,ref
0,\ref{efhalfth}
1,\ref{fighalf}
2,\ref{tbyt}
3,\ref{tpd}
4,\ref{tpm}
5,\ref{fig2half}
6,\ref{tpd}
7,\ref{tbtho}
8,\ref{tbyt}
9,\ref{eq:11}
10,\ref{fig3dim}
11,\ref{tcz}
12,\ref{noDs}
13,\ref{thbyth}
14,\ref{thbyth}
15,\ref{eq:Bia}
16,\ref{stpm}
