,theorem
0,"\begin{theorem} $\forall~ a\in A$ we have $\Vert a\Vert_{sp}=\lim_{n\rightarrow\infty}\Vert a^{n}\Vert^{\frac{1}{n}}$.
\"
1,"\begin{theorem}  if a is a normal element of a $C^{*}$-algebra $A$, then $\Vert a\Vert_{sp}=\Vert a \Vert$ (in particular it holds if $a$ is hermitian).
\"
2,"\begin{theorem} any $^{*}-$homomorphism $F$ of a Banach $^{*}-$algebra $B$ into a $C^{*}$-algebra $A$ is continuous and norm decreasing.
\"
