,quote
0,"\begin{quote}
The most powerful method of advance [is] to perfect and
generalize the mathematical formalism that forms the existing
basis of theoretical physics.
\"
1,"\begin{quote}
One must be prepared to follow up the consequences of theory, and
feel that one just has to accept the consequences no matter where
they lead.
\"
2,"\begin{quote}
One would be surprised if nature had made no use of it.
\"
