,ref
0,\ref{orthogonal-thin}
1,\ref{non-orthogonal-thin}
2,\ref{conclusion}
3,\ref{adia-flux}
4,\ref{cocycle-twist}
5,\ref{gaugepot-1}
6,\ref{gaugepot-1}
7,\ref{gaugepot-1}
8,\ref{top-charge}
9,\ref{gaugepot-1}
10,\ref{top-charge2}
11,\ref{gaugepot-1}
12,\ref{conventions}
13,\ref{trans-A}
14,\ref{gaugepot-1}
15,\ref{transition-1}
16,\ref{gaugetransf-trans}
17,\ref{Dirac-3}
18,\ref{gaugepot-1}
19,\ref{D2'}
20,\ref{phi-0}
21,\ref{D2'}
22,\ref{D2'}
23,\ref{2D-eigenvalue-problem}
24,\ref{gaugetrf-spinor}
25,\ref{spectralflow-const}
26,\ref{prob-const}
27,\ref{field-strength-const}
28,\ref{zeromode-1}
29,\ref{transition-1}
30,\ref{theta}
31,\ref{phi-0}
32,\ref{Dirac-zero-D4}
33,\ref{summation}
34,\ref{relation-zero-1}
35,\ref{conventions}
36,\ref{Dirac-Hamiltonian}
37,\ref{gaugepot-orthogonal-34}
38,\ref{gaugepot-orthogonal-12}
39,\ref{gaugepot-orthogonal-34}
40,\ref{spec-D2-const}
41,\ref{ev-H-const-1}
42,\ref{ev-H-const-2}
43,\ref{2D-eigenvalue-problem}
44,\ref{b}
45,\ref{fig2}
46,\ref{adia-flux2}
47,\ref{relation-zero-1}
48,\ref{prob-vortex}
49,\ref{fig1}
50,\ref{spectral_flow}
51,\ref{spectral_flow}
52,\ref{spectral-flow2}
53,\ref{zeromode2}
54,\ref{param}
55,\ref{orthogonal-fat}
56,\ref{spectral-flow1}
