,ref
0,\ref{sect_ordinary}
1,\ref{sect_background}
2,\ref{sect_construction}
3,\ref{sect_examples}
4,\ref{sect_conclude}
5,\ref{ex_graph}
6,\ref{fig_triangle}
7,\ref{sect_construction}
8,\ref{fig_eckmann}
9,\ref{fig_eckmann}
10,\ref{fig_eckmann}
11,\ref{def_category}
12,\ref{def_lietwo}
13,\ref{sect_ordinary}
14,\ref{def_category}
15,\ref{ex_group}
16,\ref{thm_liecrossed}
17,\ref{ex_group}
18,\ref{sect_ordinary}
19,\ref{ex_graph}
20,\ref{ex_graph}
21,\ref{ex_graph}
22,\ref{sect_ordinary}
23,\ref{ex_complex}
24,\ref{ex_complex}
25,\ref{ex_complex}
26,\ref{sect_ordinary}
27,\ref{ex_localgauge}
28,\ref{def_pseudonat}
29,\ref{fig_tetrahedron}
30,\ref{fig_tetrahedron}
31,\ref{sect_examples}
32,\ref{def_surface}
33,\ref{def_surface}
34,\ref{fig_commutative}
35,\ref{lemma_action}
36,\ref{thm_gaugeinv}
37,\ref{ex_examples}
38,\ref{ex_examples}
39,\ref{ex_local2}
40,\ref{ex_localgauge}
41,\ref{ex_examples}
42,\ref{ex_examples}
43,\ref{ex_examples}
44,\ref{thm_gaugeinv}
45,\ref{thm_gaugeinv}
46,\ref{sect_partition}
47,\ref{sect_ordinary}
48,\ref{fig_commutative}
